pgNo,startX,startY,endX,endY,w,h,fntSize,txtColor,txtFnt,pgW,pgH,topMargin,bottomMargin,leftMargin,rightMargin,o,docName,label
1,232.28,113.89,345.5,121.77,113.22,7.88,15.75,-16777216,BookmanOldStyle-Bold,612,792,113.89,670.23,232.28,266.5,Tel:  0522-4106133,alsecure.pdf,Undefined
1,232.28,127.69,391.18,135.57,158.9,7.88,15.75,-16777216,BookmanOldStyle-Bold,612,792,127.69,656.43,232.28,220.82,GSTIN: 09AAECA8210H1ZU,alsecure.pdf,Undefined
1,501.66,219.46,508.35,225.88,6.69,6.42,12.97,-16777216,Calibri-Bold,612,792,219.46,566.12,501.66,103.65,N,alsecure.pdf,Undefined
1,265.07,232.49,286.4,238.91,21.33,6.42,12.97,-16777216,Calibri-Bold,612,792,232.49,553.09,265.07,325.6,Code,alsecure.pdf,Undefined
1,338.93,232.49,349.26,238.91,10.33,6.42,12.97,-16777216,Calibri-Bold,612,792,232.49,553.09,338.93,262.74,8,alsecure.pdf,Undefined
1,474.06,232.49,495.39,238.91,21.33,6.42,12.97,-16777216,Calibri-Bold,612,792,232.49,553.09,474.06,116.61,Code,alsecure.pdf,Undefined
1,509.05,232.49,540.14,238.91,31.09,6.42,12.97,-16777216,Calibri-Bold,612,792,232.49,553.09,509.05,71.86,226016,alsecure.pdf,Undefined
1,403.29,268.35,417.39,273.02,14.1,4.67,9.45,-16777216,Calibri-Bold,612,792,268.35,518.98,403.29,194.61,Rate,alsecure.pdf,Undefined
1,64.25,290.55,218.39,297.09,154.14,6.54,13.08,-16777216,Arial-BoldMT,612,792,290.55,494.91,64.25,393.61,FACILITY ATTENDANT  SERVICES,alsecure.pdf,Undefined
1,307.91,363.19,338.41,369.29,30.5,6.1,12.2,-16777216,ArialMT,612,792,363.19,422.71,307.91,273.59,998525,alsecure.pdf,Undefined
1,357.81,363.19,395.94,369.29,38.13,6.1,12.2,-16777216,ArialMT,612,792,363.19,422.71,357.81,216.06,38265,alsecure.pdf,Undefined
1,412.79,363.19,422.96,369.29,10.17,6.1,12.2,-16777216,ArialMT,612,792,363.19,422.71,412.79,189.04,18,alsecure.pdf,Undefined
1,64.25,453.87,162.54,460.26,98.29,6.39,12.77,-16777216,Arial-BoldMT,612,792,453.87,331.74,64.25,449.46,Pan No.- AAECA8210H,alsecure.pdf,Undefined
1,362,519.51,400.14,525.61,38.14,6.1,12.2,-16777216,ArialMT,612,792,519.51,266.39,362,211.86,38265,alsecure.pdf,Undefined
1,402.74,690.76,490.97,697.18,88.23,6.42,12.97,-16777216,Calibri-Bold,612,792,690.76,94.82,402.74,121.03,Authorised signatory,alsecure.pdf,Undefined
1,47.58,592.17,99.99,598.59,52.41,6.42,12.97,-16777216,Calibri-Bold,612,792,592.17,193.41,47.58,512.01,Bank Details,alsecure.pdf,Undefined
1,352.84,591.95,449.88,598.37,97.04,6.42,12.97,-16777216,Calibri-Bold,612,792,591.95,193.63,352.84,162.12,GST on Reverse Charge,alsecure.pdf,Undefined
1,504.97,592.27,510.06,598.37,5.09,6.1,12.2,-16777216,ArialMT,612,792,592.27,193.63,504.97,101.94,0,alsecure.pdf,Undefined
1,47.58,606.19,164.52,612.61,116.94,6.42,12.97,-16777216,Calibri-Bold,612,792,606.19,179.39,47.58,447.48,Bank A/C: 05942000004848,alsecure.pdf,Undefined
1,349.42,606.98,544.36,611.17,194.94,4.19,8.39,-16777216,BookmanOldStyle,612,792,606.98,180.83,349.42,67.64,Ceritified that the particulars given above are true and correct,alsecure.pdf,Undefined
1,47.58,619.33,154.93,625.75,107.35,6.42,12.97,-16777216,Calibri-Bold,612,792,619.33,166.25,47.58,457.07,Bank IFSC:  HDFC0000594,alsecure.pdf,Undefined
1,360.01,620.52,533.87,625.75,173.86,5.23,10.57,-16777216,Calibri-Bold,612,792,620.52,166.25,360.01,78.13,For Alsecure & Protection Services  (India) Pvt. Ltd.,alsecure.pdf,Undefined
1,47.47,633.32,293.6,639.11,246.13,5.79,11.7,-16777216,Calibri-Bold,612,792,633.32,152.89,47.47,318.4,Terms & conditions,alsecure.pdf,Undefined
